title,category,description,skills,salaryRange,roadmap,logical,creative,technical,social,leadership
School Teacher,Art,Career focused on art with real-world impact.,Creativity|Design|Visual Thinking|Tool Mastery,2-8 LPA,Learn basics|Master tools|Build portfolio|Internship/Projects,2,9,4,4,2
College Lecturer,Science,Career focused on science with real-world impact.,Research|Data Analysis|Critical Thinking|Lab Skills,3-10 LPA,Learn fundamentals|Lab projects|Publish/Present|Advanced studies,9,3,6,5,3
Curriculum Designer,Banking,Career focused on banking with real-world impact.,Accounting|Finance|Excel|Risk Analysis,4-12 LPA,Learn finance basics|Certifications|Internship|Analyst role,7,4,5,4,5
Special Education Teacher,Government,Career focused on government with real-world impact.,Policy|Administration|Law|Public Service,5-14 LPA,Prepare exams|Subject mastery|Field training|Service role,6,3,5,6,7
Career Counselor,Technology,Career focused on technology with real-world impact.,Programming|Problem Solving|Systems|Data Literacy,6-10 LPA,Learn programming|Projects|Internship|Specialize,8,4,9,4,4
Trainer,Healthcare,Career focused on healthcare with real-world impact.,Biology|Empathy|Diagnostics|Communication,7-12 LPA,Pre-reqs|Clinical training|Certification|Practice,6,5,5,8,6
Education Administrator,Law,Career focused on law with real-world impact.,Legal Research|Writing|Advocacy|Negotiation,8-14 LPA,Law basics|Internship|Court practice|Specialize,6,4,4,6,7
Online Tutor,Media,Career focused on media with real-world impact.,Communication|Storytelling|Editing|Creativity,9-16 LPA,Practice content|Portfolio|Internship|Publish,4,8,3,8,3
Instructional Designer,Business,Career focused on business with real-world impact.,Strategy|Communication|Analytics|Stakeholder Management,10-18 LPA,Learn business|Projects|Internship|Role growth,6,5,5,7,7
Librarian,Education,Career focused on education with real-world impact.,Teaching|Communication|Patience|Assessment,11-20 LPA,Learn pedagogy|Practice teaching|Certification|Classroom,4,5,4,8,5
Exam Coordinator,Art,Career focused on art with real-world impact.,Creativity|Design|Visual Thinking|Tool Mastery,2-6 LPA,Learn basics|Master tools|Build portfolio|Internship/Projects,3,9,3,5,2
Research Fellow,Science,Career focused on science with real-world impact.,Research|Data Analysis|Critical Thinking|Lab Skills,3-8 LPA,Learn fundamentals|Lab projects|Publish/Present|Advanced studies,8,4,6,4,4
STEM Teacher,Banking,Career focused on banking with real-world impact.,Accounting|Finance|Excel|Risk Analysis,4-10 LPA,Learn finance basics|Certifications|Internship|Analyst role,7,3,6,4,4
Language Teacher,Government,Career focused on government with real-world impact.,Policy|Administration|Law|Public Service,5-12 LPA,Prepare exams|Subject mastery|Field training|Service role,7,3,4,7,7
Academic Advisor,Technology,Career focused on technology with real-world impact.,Programming|Problem Solving|Systems|Data Literacy,6-14 LPA,Learn programming|Projects|Internship|Specialize,7,5,9,3,5
School Principal,Healthcare,Career focused on healthcare with real-world impact.,Biology|Empathy|Diagnostics|Communication,7-16 LPA,Pre-reqs|Clinical training|Certification|Practice,6,4,6,8,5
Education Consultant,Law,Career focused on law with real-world impact.,Legal Research|Writing|Advocacy|Negotiation,8-12 LPA,Law basics|Internship|Court practice|Specialize,7,4,3,7,7
Teaching Assistant,Media,Career focused on media with real-world impact.,Communication|Storytelling|Editing|Creativity,9-14 LPA,Practice content|Portfolio|Internship|Publish,3,9,3,7,4
Learning Experience Designer,Business,Career focused on business with real-world impact.,Strategy|Communication|Analytics|Stakeholder Management,10-16 LPA,Learn business|Projects|Internship|Role growth,6,4,6,7,6
Assessment Specialist,Education,Career focused on education with real-world impact.,Teaching|Communication|Patience|Assessment,11-18 LPA,Learn pedagogy|Practice teaching|Certification|Classroom,5,5,3,9,5
Academic Coach,Art,Career focused on art with real-world impact.,Creativity|Design|Visual Thinking|Tool Mastery,2-10 LPA,Learn basics|Master tools|Build portfolio|Internship/Projects,2,9,3,4,3
Corporate Trainer,Science,Career focused on science with real-world impact.,Research|Data Analysis|Critical Thinking|Lab Skills,3-12 LPA,Learn fundamentals|Lab projects|Publish/Present|Advanced studies,8,3,7,4,3
E-learning Specialist,Banking,Career focused on banking with real-world impact.,Accounting|Finance|Excel|Risk Analysis,4-8 LPA,Learn finance basics|Certifications|Internship|Analyst role,8,3,5,5,4
Admissions Officer,Government,Career focused on government with real-world impact.,Policy|Administration|Law|Public Service,5-10 LPA,Prepare exams|Subject mastery|Field training|Service role,6,4,4,6,8
Dean,Technology,Career focused on technology with real-world impact.,Programming|Problem Solving|Systems|Data Literacy,6-12 LPA,Learn programming|Projects|Internship|Specialize,7,4,9,3,4
Faculty Development Coordinator,Healthcare,Career focused on healthcare with real-world impact.,Biology|Empathy|Diagnostics|Communication,7-14 LPA,Pre-reqs|Clinical training|Certification|Practice,7,4,5,9,5
Education Policy Analyst,Law,Career focused on law with real-world impact.,Legal Research|Writing|Advocacy|Negotiation,8-16 LPA,Law basics|Internship|Court practice|Specialize,6,5,3,6,8
Student Success Manager,Media,Career focused on media with real-world impact.,Communication|Storytelling|Editing|Creativity,9-18 LPA,Practice content|Portfolio|Internship|Publish,3,8,4,7,3
Placement Officer,Business,Career focused on business with real-world impact.,Strategy|Communication|Analytics|Stakeholder Management,10-14 LPA,Learn business|Projects|Internship|Role growth,7,4,5,8,6
Learning & Development Manager,Education,Career focused on education with real-world impact.,Teaching|Communication|Patience|Assessment,11-16 LPA,Learn pedagogy|Practice teaching|Certification|Classroom,4,6,3,8,6
Educational Psychologist,Art,Career focused on art with real-world impact.,Creativity|Design|Visual Thinking|Tool Mastery,2-8 LPA,Learn basics|Master tools|Build portfolio|Internship/Projects,2,9,4,4,2
Instructional Coach,Science,Career focused on science with real-world impact.,Research|Data Analysis|Critical Thinking|Lab Skills,3-10 LPA,Learn fundamentals|Lab projects|Publish/Present|Advanced studies,9,3,6,5,3
Subject Matter Expert,Banking,Career focused on banking with real-world impact.,Accounting|Finance|Excel|Risk Analysis,4-12 LPA,Learn finance basics|Certifications|Internship|Analyst role,7,4,5,4,5
